"","id","submitdate","lastpage","startlanguage","informedConsent","noConsentReason","practiceBehavior_intention","practiceBehavior_attInstrumental","practiceBehavior_attExperiential","practiceBehavior_pnInjunctive","practiceBehavior_pnDescriptive","practiceBehavior_pbcCapacity","practiceBehavior_pbcControl","coffee_intention","coffee_attInstrumental","coffee_attExperiential","coffee_pnInjunctive","coffee_pnDescriptive","coffee_pbcCapacity","coffee_pbcControl","publicTransport_intention","publicTransport_attInstrumental","publicTransport_attExperiential","publicTransport_pnInjunctive","publicTransport_pnDescriptive","publicTransport_pbcCapacity","publicTransport_pbcControl","runRedLight_intention","runRedLight_attInstrumental","runRedLight_attExperiential","runRedLight_pnInjunctive","runRedLight_pnDescriptive","runRedLight_pbcCapacity","runRedLight_pbcControl","wasteSeparation_intention","wasteSeparation_attInstrumental","wasteSeparation_attExperiential","wasteSeparation_pnInjunctive","wasteSeparation_pnDescriptive","wasteSeparation_pbcCapacity","wasteSeparation_pbcControl","conSomebody_intention","conSomebody_attInstrumental","conSomebody_attExperiential","conSomebody_pnInjunctive","conSomebody_pnDescriptive","conSomebody_pbcCapacity","conSomebody_pbcControl","marathon_intention","marathon_attInstrumental","marathon_attExperiential","marathon_pnInjunctive","marathon_pnDescriptive","marathon_pbcCapacity","marathon_pbcControl","longShower_intention","longShower_attInstrumental","longShower_attExperiential","longShower_pnInjunctive","longShower_pnDescriptive","longShower_pbcCapacity","longShower_pbcControl","brushingTeeth_intention","brushingTeeth_attInstrumental","brushingTeeth_attExperiential","brushingTeeth_pnInjunctive","brushingTeeth_pnDescriptive","brushingTeeth_pbcCapacity","brushingTeeth_pbcControl","age","sex","sex_other","education","education_other","region","Totaaltijd","Groep.tijd..Toestemmingsverklaring","Vraagtijd..informedConsent","Groep.tijd..Geen.toestemming.gegeven.voor.deelname","Vraagtijd..noConsentReason","Groep.tijd..Oefenvraag..de.komende.minuten.een.vragenlijst.invullen","Vraagtijd..practiceBehavior","Groep.tijd..De.komende.maand.helemaal.geen.koffie.drinken","Vraagtijd..coffee","Groep.tijd..De.komende.maand.vooral.met.het.openbaar.vervoer.reizen","Vraagtijd..publicTransport","Groep.tijd..De.komende.maand.soms.door.rood.licht.fietsen","Vraagtijd..runRedLight","Groep.tijd..De.komende.maand.afval.altijd.nauwkeurig.scheiden","Vraagtijd..wasteSeparation","Groep.tijd..De.komende.maand.iemand.voor.10.000.euro.oplichten","Vraagtijd..conSomebody","Groep.tijd..De.komende.maand.een.marathon.uitlopen","Vraagtijd..marathon","Groep.tijd..De.komende.maand.vaak.extra.lang.douchen","Vraagtijd..longShower","Groep.tijd..De.komende.maand.elke.dag.je.tanden.poetsen","Vraagtijd..brushingTeeth","Groep.tijd..Algemene.informatie","Vraagtijd..age","Vraagtijd..sex","Vraagtijd..education","Vraagtijd..region"
"31",57,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,4,5,2,5,5,1,1,1,3,3,3,5,4,5,5,5,4,5,4,1,1,1,1,2,3,4,4,5,5,5,4,5,5,1,1,1,1,1,2,5,1,1,1,4,3,3,4,2,2,4,3,3,5,4,5,5,5,5,5,5,5,48,"Vrouw",NA,"HBO",NA,65,442.76,36.96,NA,NA,NA,55.16,NA,41.73,NA,42.74,NA,30.99,NA,39.34,NA,44.18,NA,37.74,NA,45.49,NA,33.46,NA,34.97,NA,NA,NA,NA
"32",58,NA,NA,"nl-informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",59,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,3,5,3,4,5,2,4,3,3,2,5,5,1,2,1,5,2,4,4,1,1,1,1,1,1,3,4,5,5,5,4,5,5,1,1,1,1,1,1,3,1,1,1,5,2,4,5,2,3,3,4,3,5,5,5,5,5,5,5,5,5,25,"Vrouw",NA,"HAVO / VWO",NA,74,559.82,30.94,NA,NA,NA,101.91,NA,53.32,NA,49.01,NA,43.57,NA,48.94,NA,70.33,NA,50.04,NA,44.67,NA,21.14,NA,45.95,NA,NA,NA,NA
"34",60,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,3,5,3,5,5,4,5,4,5,4,5,5,1,3,4,4,3,5,5,2,2,2,2,2,4,5,4,5,5,5,4,5,5,1,1,1,1,1,3,5,1,1,1,1,1,3,4,2,2,2,3,3,4,5,5,5,5,5,5,5,5,26,"Vrouw",NA,"HBO",NA,97,546,40.48,NA,NA,NA,160.32,NA,23.97,NA,37.18,NA,26.61,NA,35.7,NA,36.12,NA,38.83,NA,50.5,NA,60.89,NA,35.4,NA,NA,NA,NA
"35",61,NA,NA,"nl-informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",62,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,5,5,5,5,1,5,1,5,2,5,5,5,5,5,5,5,5,5,1,1,1,1,3,5,5,2,5,5,5,2,5,5,1,1,1,1,1,5,5,1,2,2,5,3,5,5,1,3,5,5,3,5,5,5,5,5,5,4,5,5,22,"Vrouw",NA,"HBO",NA,56,332.21,7.14,NA,NA,NA,45.09,NA,28.89,NA,44.36,NA,24.55,NA,32.8,NA,21,NA,30.75,NA,49.98,NA,20.49,NA,27.16,NA,NA,NA,NA
"37",63,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,5,1,5,5,1,3,1,3,2,5,5,1,3,1,3,1,3,5,1,1,1,1,1,5,5,3,5,2,5,3,5,5,1,1,1,1,1,1,5,1,3,3,4,1,1,5,1,3,3,3,2,5,5,5,5,5,5,5,5,5,34,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,46,1094.45,53.49,NA,NA,NA,109.15,NA,123,NA,106.26,NA,81.02,NA,169.47,NA,88.44,NA,68.37,NA,217.38,NA,25.49,NA,52.38,NA,NA,NA,NA
"38",65,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,3,4,2,5,4,5,5,5,5,2,5,5,2,3,2,4,3,4,5,2,3,3,2,4,4,2,4,4,3,4,3,4,5,1,2,1,1,2,3,3,1,2,2,4,2,1,3,2,4,4,2,3,4,4,5,5,5,5,5,5,5,36,"Vrouw",NA,"HBO",NA,34,349.31,18.65,NA,NA,NA,44.86,NA,38.6,NA,32.54,NA,33.67,NA,29.9,NA,35.75,NA,38.58,NA,27.74,NA,25.81,NA,23.21,NA,NA,NA,NA
"39",67,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,3,5,2,5,5,1,3,2,5,3,5,5,1,2,1,5,3,5,5,2,3,3,3,4,5,5,4,5,4,5,3,5,4,1,1,1,1,2,3,4,1,2,1,5,3,5,5,1,2,2,4,3,5,5,5,5,5,5,5,5,5,24,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,56,522.39,46.22,NA,NA,NA,44.64,NA,28.55,NA,33.83,NA,50.77,NA,38.43,NA,98.65,NA,30.34,NA,73.48,NA,23.01,NA,54.47,NA,NA,NA,NA
"40",68,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,3,4,5,1,3,1,5,1,5,5,3,4,4,5,3,5,5,1,3,3,3,3,3,5,1,5,5,5,1,1,1,1,1,1,1,1,1,5,1,3,3,5,1,1,5,1,4,4,3,1,5,5,5,5,5,5,5,5,5,46,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,78,676.79,60.3,NA,NA,NA,63.96,NA,55.12,NA,62.66,NA,49.06,NA,56.03,NA,62.84,NA,76.98,NA,55.38,NA,44.85,NA,89.61,NA,NA,NA,NA
"41",69,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,2,5,5,1,4,1,5,3,2,2,1,1,2,5,3,5,3,3,1,3,1,3,5,5,5,5,5,5,4,5,5,1,1,1,1,1,3,5,1,1,1,5,2,1,5,1,4,4,3,3,4,4,5,5,3,5,5,5,5,41,"Man",NA,"HBO",NA,37,289.88,6.92,NA,NA,NA,31.44,NA,30.07,NA,45.29,NA,29.8,NA,18.16,NA,28.05,NA,21.8,NA,25.45,NA,22.69,NA,30.21,NA,NA,NA,NA
"42",70,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,5,1,4,5,2,5,3,3,2,5,4,1,1,1,3,3,2,4,3,4,4,3,4,5,4,1,2,1,5,3,2,2,1,1,1,1,1,1,5,1,1,1,5,2,1,5,3,3,4,2,3,3,3,5,5,4,5,5,5,5,45,"Vrouw",NA,"HBO",NA,10,552.15,43.98,NA,NA,NA,53.41,NA,52.78,NA,45.86,NA,51.47,NA,60.75,NA,53.44,NA,46.26,NA,61.89,NA,33.49,NA,48.82,NA,NA,NA,NA
"43",71,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,3,3,3,5,1,1,2,1,3,3,2,5,1,3,2,3,3,3,5,3,3,3,2,3,5,2,4,5,2,5,3,4,4,1,1,1,1,1,1,4,1,1,1,5,3,1,5,3,4,5,2,3,5,4,5,5,4,5,5,5,4,54,"Vrouw",NA,"HBO",NA,10,495.03,38.82,NA,NA,NA,82.58,NA,45.71,NA,46.46,NA,45,NA,42.2,NA,46.79,NA,30.48,NA,39.3,NA,27.08,NA,50.61,NA,NA,NA,NA
"44",72,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,4,4,3,4,5,1,3,2,3,3,3,5,2,2,1,1,1,4,3,2,2,2,2,3,4,5,2,4,5,4,3,2,1,1,1,1,1,2,2,5,1,1,1,2,2,1,5,2,3,4,2,2,4,5,5,5,4,4,4,5,5,52,"Man",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,23,350.26,10.22,NA,NA,NA,50.73,NA,34.64,NA,42.01,NA,30.84,NA,31.89,NA,26.01,NA,24.58,NA,36.75,NA,30.44,NA,32.15,NA,NA,NA,NA
"45",73,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,5,1,5,5,1,2,1,3,1,3,5,2,1,1,3,3,1,5,1,1,1,1,1,1,5,4,4,4,4,3,5,5,1,1,1,1,1,4,5,3,4,5,4,3,5,5,4,5,5,3,3,4,5,5,5,5,5,3,5,5,33,"Vrouw",NA,"HBO",NA,19,602.47,7.46,NA,NA,NA,61.74,NA,67.83,NA,52.48,NA,54.67,NA,51.08,NA,48.57,NA,30.32,NA,55.5,NA,38.3,NA,134.52,NA,NA,NA,NA
"46",76,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,5,1,5,5,1,3,2,5,1,4,5,1,1,1,3,1,2,5,1,3,3,3,3,3,5,3,3,3,4,3,4,4,1,1,1,1,1,1,5,1,1,1,3,1,2,5,2,4,4,3,3,4,5,5,5,4,5,4,4,5,34,"Vrouw",NA,"HBO",NA,72,3011.33,41.62,NA,NA,NA,62.19,NA,75.8,NA,46.65,NA,50.52,NA,100.98,NA,45.64,NA,54.38,NA,60.35,NA,41.58,NA,2431.62,NA,NA,NA,NA
"47",78,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,3,5,3,5,5,1,1,1,3,1,4,5,1,2,2,3,2,4,5,1,1,1,1,3,3,5,5,5,3,4,4,5,5,1,1,1,1,1,1,5,1,1,1,3,1,1,5,3,5,5,3,3,5,5,5,5,3,5,5,5,5,36,"Man",NA,"HAVO / VWO",NA,93,477.41,20.02,NA,NA,NA,58.52,NA,45.06,NA,41.08,NA,32.79,NA,43.88,NA,27.83,NA,22.02,NA,25.41,NA,28.05,NA,132.75,NA,NA,NA,NA
"48",79,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,3,3,3,3,3,3,3,1,1,1,2,2,4,4,3,3,3,3,3,4,4,2,2,2,2,2,5,5,3,3,4,4,4,5,5,2,2,2,3,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,5,2,3,3,3,3,3,5,32,"Man",NA,"HAVO / VWO",NA,12,103.46,3.99,NA,NA,NA,7.79,NA,8.91,NA,7.89,NA,9.82,NA,7.21,NA,16.93,NA,6.32,NA,8.26,NA,14.36,NA,11.98,NA,NA,NA,NA
"49",80,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,3,5,1,5,5,5,5,5,5,5,5,5,2,2,2,5,2,5,5,2,1,2,4,3,5,5,5,5,3,5,5,5,5,1,1,1,1,1,1,5,1,2,2,3,1,1,5,4,5,5,3,4,4,4,5,5,4,5,5,5,5,31,"Vrouw",NA,"HBO",NA,48,519.39,32.42,NA,NA,NA,61.64,NA,27.05,NA,55.95,NA,81.67,NA,57.97,NA,40.51,NA,35.56,NA,52.31,NA,39.35,NA,34.96,NA,NA,NA,NA
"50",81,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,4,5,3,5,5,1,1,1,3,3,2,3,1,3,3,3,3,5,5,1,1,3,1,3,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,1,1,5,5,1,3,5,3,4,4,3,3,4,5,5,5,5,5,5,5,5,39,"Man",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,97,467.54,39.1,NA,NA,NA,50.94,NA,62.44,NA,42.11,NA,43.98,NA,33.13,NA,41.78,NA,43.37,NA,43.96,NA,31.83,NA,34.9,NA,NA,NA,NA
"51",82,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,2,5,4,1,4,1,3,2,4,5,5,5,4,4,4,5,5,3,3,3,2,4,5,5,2,4,2,4,3,5,5,1,1,1,1,1,1,3,1,4,4,4,3,2,4,1,2,1,3,2,4,4,5,5,5,5,5,5,5,47,"Vrouw",NA,"HBO",NA,25,578.93,33.7,NA,NA,NA,44.88,NA,59.63,NA,35.37,NA,53.39,NA,61.86,NA,51.97,NA,49,NA,59.17,NA,40.56,NA,89.4,NA,NA,NA,NA
"52",85,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,2,5,5,5,3,3,4,4,5,2,4,5,1,5,1,5,3,5,3,2,1,1,2,3,5,5,1,5,2,4,3,4,4,1,1,1,1,1,1,5,1,3,1,1,2,1,5,3,5,5,5,4,5,5,5,5,4,5,5,5,5,33,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,13,434.65,14.19,NA,NA,NA,44.84,NA,44.43,NA,33.95,NA,72.64,NA,61.66,NA,23.3,NA,54.67,NA,25.47,NA,24,NA,35.5,NA,NA,NA,NA
"53",86,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,5,5,5,1,4,4,5,3,5,5,2,4,2,4,2,4,5,2,2,5,4,2,5,4,3,5,4,5,4,5,5,1,1,1,1,1,2,5,1,2,1,4,2,2,5,2,1,2,2,2,5,5,5,5,5,5,5,5,5,26,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,37,386.1,24.47,NA,NA,NA,30.53,NA,36.84,NA,38.5,NA,35.91,NA,40.05,NA,38.64,NA,32.43,NA,33.22,NA,32.71,NA,42.8,NA,NA,NA,NA
"54",87,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,5,5,5,1,3,2,5,3,5,5,1,2,1,5,3,5,5,1,3,3,5,3,5,5,1,3,3,5,3,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,3,3,5,1,5,5,5,5,5,5,5,5,5,60,"Man",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,37,839.18,91.37,NA,NA,NA,87.81,NA,89.15,NA,94.65,NA,62.15,NA,58.18,NA,104.49,NA,45.92,NA,106.26,NA,54.28,NA,44.92,NA,NA,NA,NA
"55",88,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,4,5,5,2,3,2,3,1,5,5,3,3,3,3,3,3,3,1,1,1,1,2,1,5,4,4,4,4,4,4,4,1,1,1,1,1,1,5,1,1,1,1,2,1,5,2,2,2,2,2,2,5,5,5,5,5,5,5,5,42,"Vrouw",NA,"HBO",NA,15,302.66,9.08,NA,NA,NA,47.97,NA,40.5,NA,19.79,NA,46.28,NA,34.47,NA,21.93,NA,24.14,NA,16.21,NA,17,NA,25.29,NA,NA,NA,NA
"56",89,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,3,5,3,5,4,5,3,5,5,2,5,5,3,3,1,3,3,3,4,1,1,1,2,2,5,5,4,5,4,5,4,5,5,1,1,1,1,1,2,4,1,3,1,4,3,2,5,1,1,3,1,1,4,3,5,5,5,5,5,5,5,20,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,54,936.58,185.3,NA,NA,NA,79.66,NA,49.47,NA,75.17,NA,34.55,NA,94.61,NA,176.9,NA,45.95,NA,71.29,NA,45.04,NA,78.64,NA,NA,NA,NA
"57",90,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,4,4,4,3,3,4,4,1,3,2,3,3,3,4,3,3,3,3,3,3,4,1,1,1,1,1,1,4,4,4,4,4,3,4,4,1,1,1,1,1,1,3,2,2,1,3,3,2,4,1,1,1,1,1,2,4,4,4,4,4,3,4,4,51,"Vrouw",NA,"HBO",NA,90,485.65,41.3,NA,NA,NA,64.21,NA,57.11,NA,30.96,NA,40.85,NA,33.54,NA,49.1,NA,35.76,NA,44.05,NA,48.44,NA,40.33,NA,NA,NA,NA
"58",91,NA,2,"nl-informal","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21,6.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",92,NA,2,"nl-informal","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",93,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,4,5,2,5,5,1,2,1,3,2,1,5,1,3,3,5,2,4,5,1,1,1,1,2,3,5,5,5,5,5,4,5,5,1,1,1,1,1,1,5,1,1,1,1,2,3,5,4,5,5,3,3,5,5,5,5,5,5,4,5,5,47,"Vrouw",NA,"MBO (bijvoorbeeld een ROC)",NA,37,464.81,37.53,NA,NA,NA,51.77,NA,47.34,NA,56.32,NA,35.56,NA,33.81,NA,30.46,NA,38.58,NA,40.61,NA,47.48,NA,45.35,NA,NA,NA,NA
"61",95,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,1,5,5,5,5,5,3,4,5,5,1,1,1,5,3,5,4,4,2,4,3,4,4,4,5,5,5,5,4,5,5,1,1,1,1,1,3,3,1,1,1,4,3,4,4,2,2,4,3,3,5,4,5,5,5,5,5,5,5,38,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,10,466.74,51.25,NA,NA,NA,44.06,NA,53.62,NA,43.82,NA,47.6,NA,37.22,NA,39.27,NA,48.17,NA,48.36,NA,20.32,NA,33.05,NA,NA,NA,NA
"62",96,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,3,3,5,5,3,3,3,3,2,5,5,1,3,3,3,3,5,5,5,3,3,3,3,5,5,4,4,4,4,4,5,5,1,1,1,1,1,1,5,1,3,3,3,2,5,4,1,1,2,1,2,4,4,5,5,5,4,4,5,5,31,"Man",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,20,400.45,14.89,NA,NA,NA,55.38,NA,26.46,NA,43.78,NA,41.33,NA,64.31,NA,32.59,NA,32.53,NA,34.9,NA,30.3,NA,23.98,NA,NA,NA,NA
"63",97,NA,NA,"nl-informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",98,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,2,1,3,1,5,3,2,3,2,3,1,5,5,2,3,2,3,1,5,5,1,1,1,1,1,5,5,3,3,1,4,1,3,5,1,2,1,1,1,1,1,1,3,3,3,1,2,2,3,3,3,3,1,5,5,5,5,3,5,1,5,5,26,"Man",NA,"HAVO / VWO",NA,37,448.04,9.4,NA,NA,NA,55.22,NA,40.35,NA,40.25,NA,34.61,NA,50.1,NA,44.92,NA,34.59,NA,41.03,NA,52.9,NA,44.67,NA,NA,NA,NA
"65",99,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,3,4,2,2,2,4,2,1,1,1,5,3,5,5,4,4,4,4,3,4,4,2,2,2,2,3,2,5,2,5,4,5,3,4,4,1,1,1,1,3,1,4,1,1,1,2,3,1,4,4,2,5,2,3,4,4,5,5,5,5,3,5,5,41,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,97,378.74,7.3,NA,NA,NA,43.37,NA,44.96,NA,25.1,NA,36.58,NA,45.8,NA,36.46,NA,38.56,NA,42.19,NA,25.07,NA,33.35,NA,NA,NA,NA
"66",103,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,4,4,4,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,1,1,1,1,2,1,5,3,5,3,3,3,4,4,1,1,1,1,1,1,5,1,4,2,3,3,3,5,3,3,4,3,3,4,4,5,5,5,5,4,5,5,20,"Vrouw",NA,"HBO",NA,50,1588.77,39.48,NA,NA,NA,169.49,NA,178.7,NA,215.44,NA,91.17,NA,149.8,NA,166.44,NA,155.65,NA,136.45,NA,129.37,NA,156.78,NA,NA,NA,NA
"67",104,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,2,5,4,1,3,2,4,3,3,4,1,3,1,3,2,4,4,1,1,1,1,1,5,4,3,3,4,4,4,4,4,1,1,1,1,1,2,3,1,1,1,3,1,1,1,1,3,2,4,2,5,5,5,5,5,5,5,5,5,39,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,41,438.85,59.78,NA,NA,NA,56.47,NA,31.41,NA,44.31,NA,33.69,NA,31.62,NA,34.1,NA,39.45,NA,55.24,NA,19.21,NA,33.57,NA,NA,NA,NA
"68",105,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,5,5,5,1,5,1,5,2,5,5,1,3,1,5,3,5,5,1,1,1,1,1,5,5,4,5,2,5,4,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,3,1,3,3,5,5,5,5,5,5,5,5,5,40,"Vrouw",NA,"HBO",NA,35,334.84,6.05,NA,NA,NA,43.04,NA,31.72,NA,30.99,NA,32.93,NA,32.76,NA,27.5,NA,32.32,NA,36.01,NA,30.58,NA,30.94,NA,NA,NA,NA
"69",107,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,3,3,1,5,5,1,3,1,3,1,4,5,2,3,2,2,2,2,4,1,2,2,1,2,4,5,5,4,3,3,4,5,5,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,2,2,3,3,4,5,5,5,5,5,4,5,5,55,"Vrouw",NA,"HBO",NA,36,426.01,6.55,NA,NA,NA,58.15,NA,39.95,NA,62.66,NA,34.69,NA,43.42,NA,49.36,NA,26.17,NA,43.03,NA,31.28,NA,30.75,NA,NA,NA,NA
"70",109,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,4,4,4,4,4,1,2,1,5,2,5,5,1,2,1,5,3,5,5,2,2,3,1,2,5,5,3,3,3,5,3,5,5,1,1,1,1,1,3,5,2,2,1,5,3,3,5,3,2,4,4,4,4,5,5,5,5,5,5,5,5,32,"Vrouw",NA,"HBO",NA,18,396.72,6.95,NA,NA,NA,50.19,NA,27.36,NA,45.9,NA,43.15,NA,34.94,NA,28.13,NA,33.96,NA,66.64,NA,31.86,NA,27.64,NA,NA,NA,NA
"71",110,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,2,2,3,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,4,2,4,4,5,2,3,1,4,2,4,5,1,1,1,1,1,1,5,1,1,1,3,1,1,3,1,3,2,1,1,5,5,5,5,5,5,5,5,5,39,"Vrouw",NA,"HBO",NA,30,297.82,7.53,NA,NA,NA,39.83,NA,28.33,NA,21.55,NA,27.01,NA,43.76,NA,22.68,NA,29.54,NA,37.4,NA,14.25,NA,25.94,NA,NA,NA,NA
"72",111,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,2,5,2,5,5,4,4,3,5,2,5,5,1,2,2,4,4,5,4,1,2,2,1,2,5,5,3,4,2,5,3,5,4,1,5,1,1,1,2,4,1,4,2,5,1,1,3,1,3,4,1,2,4,4,5,5,3,5,5,5,5,21,"Vrouw",NA,"HAVO / VWO",NA,97,367.2,19.4,NA,NA,NA,46.15,NA,48.42,NA,36.86,NA,32.2,NA,36.36,NA,33.22,NA,27.67,NA,45.45,NA,17.9,NA,23.57,NA,NA,NA,NA
"73",113,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,4,4,4,3,3,5,5,5,5,5,5,4,4,3,4,4,5,4,5,1,1,1,2,1,2,2,5,5,4,4,5,5,4,1,2,1,2,1,2,2,2,2,2,3,2,2,3,4,4,5,5,4,4,4,4,3,4,4,5,4,4,31,"Man",NA,"HBO",NA,54,140.71,5.84,NA,NA,NA,14.61,NA,30.53,NA,8.25,NA,9.85,NA,10.31,NA,9.99,NA,9.5,NA,10.63,NA,9.58,NA,21.62,NA,NA,NA,NA
