"","id","submitdate","lastpage","startlanguage","informedConsent","noConsentReason","practiceBehavior_intention","practiceBehavior_attInstrumental","practiceBehavior_attExperiential","practiceBehavior_pnInjunctive","practiceBehavior_pnDescriptive","practiceBehavior_pbcCapacity","practiceBehavior_pbcControl","coffee_intention","coffee_attInstrumental","coffee_attExperiential","coffee_pnInjunctive","coffee_pnDescriptive","coffee_pbcCapacity","coffee_pbcControl","publicTransport_intention","publicTransport_attInstrumental","publicTransport_attExperiential","publicTransport_pnInjunctive","publicTransport_pnDescriptive","publicTransport_pbcCapacity","publicTransport_pbcControl","runRedLight_intention","runRedLight_attInstrumental","runRedLight_attExperiential","runRedLight_pnInjunctive","runRedLight_pnDescriptive","runRedLight_pbcCapacity","runRedLight_pbcControl","wasteSeparation_intention","wasteSeparation_attInstrumental","wasteSeparation_attExperiential","wasteSeparation_pnInjunctive","wasteSeparation_pnDescriptive","wasteSeparation_pbcCapacity","wasteSeparation_pbcControl","conSomebody_intention","conSomebody_attInstrumental","conSomebody_attExperiential","conSomebody_pnInjunctive","conSomebody_pnDescriptive","conSomebody_pbcCapacity","conSomebody_pbcControl","marathon_intention","marathon_attInstrumental","marathon_attExperiential","marathon_pnInjunctive","marathon_pnDescriptive","marathon_pbcCapacity","marathon_pbcControl","longShower_intention","longShower_attInstrumental","longShower_attExperiential","longShower_pnInjunctive","longShower_pnDescriptive","longShower_pbcCapacity","longShower_pbcControl","brushingTeeth_intention","brushingTeeth_attInstrumental","brushingTeeth_attExperiential","brushingTeeth_pnInjunctive","brushingTeeth_pnDescriptive","brushingTeeth_pbcCapacity","brushingTeeth_pbcControl","age","sex","sex_other","education","education_other","region","Totaaltijd","Groep.tijd..Toestemmingsverklaring","Vraagtijd..informedConsent","Groep.tijd..Geen.toestemming.gegeven.voor.deelname","Vraagtijd..noConsentReason","Groep.tijd..Oefenvraag..de.komende.minuten.een.vragenlijst.invullen","Vraagtijd..practiceBehavior","Groep.tijd..De.komende.maand.helemaal.geen.koffie.drinken","Vraagtijd..coffee","Groep.tijd..De.komende.maand.vooral.met.het.openbaar.vervoer.reizen","Vraagtijd..publicTransport","Groep.tijd..De.komende.maand.soms.door.rood.licht.fietsen","Vraagtijd..runRedLight","Groep.tijd..De.komende.maand.afval.altijd.nauwkeurig.scheiden","Vraagtijd..wasteSeparation","Groep.tijd..De.komende.maand.iemand.voor.10.000.euro.oplichten","Vraagtijd..conSomebody","Groep.tijd..De.komende.maand.een.marathon.uitlopen","Vraagtijd..marathon","Groep.tijd..De.komende.maand.vaak.extra.lang.douchen","Vraagtijd..longShower","Groep.tijd..De.komende.maand.elke.dag.je.tanden.poetsen","Vraagtijd..brushingTeeth","Groep.tijd..Algemene.informatie","Vraagtijd..age","Vraagtijd..sex","Vraagtijd..education","Vraagtijd..region"
"11",33,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,5,2,5,4,2,5,4,3,4,5,5,3,4,3,5,3,5,3,2,2,3,3,5,5,5,5,5,3,5,4,5,5,1,1,1,1,1,2,3,1,2,1,3,2,2,4,2,1,1,2,2,5,4,5,5,4,5,5,5,5,37,"Vrouw",NA,"HBO",NA,65,532.05,19.34,NA,NA,NA,83.64,NA,35.98,NA,62.45,NA,64.27,NA,34.36,NA,50.82,NA,57.59,NA,51.77,NA,31.17,NA,40.66,NA,NA,NA,NA
"12",35,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,3,5,1,5,5,1,1,1,5,2,2,5,1,2,2,5,3,2,4,2,2,2,2,3,4,4,4,4,4,5,4,4,4,1,1,1,1,1,1,4,1,1,1,2,2,2,4,3,2,3,3,3,4,4,5,5,5,5,5,5,5,42,"Man",NA,"HBO",NA,39,472.17,35.25,NA,NA,NA,49.57,NA,48.37,NA,46.3,NA,56.11,NA,54.23,NA,34.48,NA,53.19,NA,36.71,NA,27.21,NA,30.75,NA,NA,NA,NA
"13",37,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,4,3,5,5,1,1,1,3,3,2,5,3,3,3,3,2,5,5,1,1,1,1,1,2,5,4,5,4,5,4,4,5,1,1,1,1,2,1,5,1,1,1,2,1,1,5,1,1,3,1,1,1,5,5,5,5,5,5,5,5,55,"Vrouw",NA,"HBO",NA,77,426.5,48.82,NA,NA,NA,59.91,NA,39.41,NA,32.53,NA,37.37,NA,37.91,NA,31.13,NA,37.59,NA,51.98,NA,24.39,NA,25.46,NA,NA,NA,NA
"14",38,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,4,5,3,5,5,1,2,1,3,1,5,5,1,1,1,3,3,5,5,4,2,2,3,4,5,5,4,3,4,4,4,5,5,1,1,1,1,1,3,5,1,1,1,3,3,1,3,3,2,4,2,3,5,5,5,5,5,5,5,5,5,29,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,10,835.02,373.46,NA,NA,NA,56.04,NA,46.43,NA,49.33,NA,33.24,NA,66.62,NA,43.23,NA,40.73,NA,68.07,NA,19.11,NA,38.76,NA,NA,NA,NA
"15",39,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,4,3,5,5,1,2,2,3,2,3,5,5,5,4,5,4,5,5,1,1,1,1,2,1,5,5,5,4,4,3,4,5,1,1,1,1,1,1,5,2,4,3,4,2,4,5,2,2,4,1,2,4,5,5,5,5,5,5,5,5,21,"Vrouw",NA,"HAVO / VWO",NA,77,245.96,12.71,NA,NA,NA,28.86,NA,27.58,NA,17.32,NA,22.74,NA,27.88,NA,12.61,NA,26.66,NA,21.15,NA,23.95,NA,24.5,NA,NA,NA,NA
"16",40,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,3,5,5,5,5,5,5,3,5,5,2,2,2,5,3,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,3,3,3,3,3,3,5,3,3,4,3,3,5,5,5,5,5,5,5,5,5,40,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,17,514.32,70.77,NA,NA,NA,60.37,NA,37.14,NA,56.14,NA,47.17,NA,35.86,NA,39.5,NA,47.56,NA,53.35,NA,31.8,NA,34.66,NA,NA,NA,NA
"17",42,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,5,3,5,5,5,5,5,4,5,5,5,1,1,1,3,2,1,2,3,2,4,3,3,4,4,3,5,3,4,3,3,4,1,1,1,1,1,1,5,1,2,2,3,2,4,5,1,1,4,3,2,3,4,5,5,5,5,5,5,5,41,"Vrouw",NA,NA,"post hbo",16,497.57,37.71,NA,NA,NA,59.76,NA,38.46,NA,45.49,NA,47.46,NA,59.52,NA,36.16,NA,43.02,NA,48.08,NA,25.78,NA,56.13,NA,NA,NA,NA
"18",43,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,34,"Vrouw",NA,"HBO",NA,10,524.61,7.73,NA,NA,NA,30.93,NA,13.18,NA,278.32,NA,91.53,NA,10.51,NA,16.02,NA,7.35,NA,7.61,NA,25.71,NA,35.72,NA,NA,NA,NA
"19",44,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,4,5,4,4,4,1,3,3,5,3,5,5,1,2,2,5,3,4,5,2,2,2,2,2,5,5,4,4,5,5,4,5,5,1,1,1,1,1,1,5,1,1,1,3,3,1,5,3,4,4,4,3,4,5,5,5,5,5,5,5,5,47,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,17,665.33,40.52,NA,NA,NA,182.64,NA,52.34,NA,61.89,NA,57.82,NA,56.65,NA,28.06,NA,46.03,NA,50.04,NA,32.52,NA,56.82,NA,NA,NA,NA
"20",45,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,3,5,5,1,1,1,5,1,3,3,2,2,3,5,2,2,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,34,"Man",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,0,496.51,59.63,NA,NA,NA,97.74,NA,41.82,NA,72.01,NA,21.48,NA,21.32,NA,57.04,NA,34.9,NA,23.95,NA,21.89,NA,44.73,NA,NA,NA,NA
